device,feature,clf,accuracy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
2,1,2,0.775,0.933333333333,0.823529411765,0.636363636364,0.714285714286,0.714285714286,0.75,0.933333333333,0.7,0.875,0.769230769231,0.833333333333,0.666666666667,0.933333333333,0.756756756757,0.736842105263,0.740740740741,0.769230769231,0.705882352941,15,20,8,13,6,18,14,0,0,0,1,0,0,14,2,2,1,1,0,0,7,0,0,1,0,1,0,10,0,2,1,0,0,0,5,0,0,2,2,2,0,12
2,1,3,0.7,0.722222222222,0.666666666667,1.0,0.8,0.444444444444,0.666666666667,0.8125,0.923076923077,0.866666666667,0.727272727273,0.666666666667,0.153846153846,0.764705882353,0.774193548387,0.928571428571,0.761904761905,0.533333333333,0.25,16,13,15,11,12,13,13,0,0,0,3,0,1,12,0,0,0,0,0,2,13,0,0,0,0,2,0,8,1,0,3,0,0,0,8,1,1,2,0,2,6,2
2,2,0,0.9,0.928571428571,0.9375,1.0,0.615384615385,1.0,0.9375,1.0,0.714285714286,0.933333333333,0.888888888889,1.0,1.0,0.962962962963,0.810810810811,0.965517241379,0.727272727273,1.0,0.967741935484,13,21,15,9,7,15,13,0,0,0,0,0,0,15,0,5,0,1,1,0,14,0,0,0,0,1,0,8,0,0,0,0,0,0,7,0,0,0,0,0,0,15
2,2,1,0.675,0.555555555556,0.666666666667,0.933333333333,0.529411764706,0.8,0.692307692308,0.666666666667,0.470588235294,0.875,0.818181818182,1.0,0.529411764706,0.606060606061,0.551724137931,0.903225806452,0.642857142857,0.888888888889,0.6,15,17,16,11,4,17,10,0,0,5,0,0,3,8,0,1,1,4,0,0,14,2,0,0,1,0,1,9,0,0,0,0,0,0,4,0,4,4,0,0,0,9
2,2,2,0.85,0.875,0.846153846154,0.8,0.857142857143,0.769230769231,0.941176470588,0.636363636364,0.647058823529,0.923076923077,1.0,1.0,0.941176470588,0.736842105263,0.733333333333,0.857142857143,0.923076923077,0.869565217391,0.941176470588,11,17,13,12,10,17,7,1,2,1,0,0,0,11,1,1,3,1,1,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,10,0,0,1,0,0,0,16
2,2,3,0.5625,0.388888888889,0.555555555556,0.692307692308,0.333333333333,0.9,0.571428571429,0.636363636364,0.3125,0.692307692308,0.2,0.9,0.8,0.48275862069,0.4,0.692307692308,0.25,0.9,0.666666666667,11,16,13,15,10,15,7,1,0,1,0,2,2,5,0,1,1,7,0,0,9,4,0,0,7,1,4,3,0,0,0,1,0,0,9,0,2,1,0,0,0,12
3,0,0,0.725,0.6,0.846153846154,0.647058823529,0.444444444444,1.0,0.875,0.1875,0.785714285714,0.846153846154,0.8,1.0,0.875,0.285714285714,0.814814814815,0.733333333333,0.571428571429,1.0,0.875,16,14,13,10,11,16,3,0,4,9,0,0,1,11,0,0,0,2,1,0,11,1,0,0,0,0,2,8,0,0,0,0,0,0,11,0,0,2,0,0,0,14
3,0,1,0.7,1.0,0.9,0.8125,0.344827586207,1.0,0.941176470588,0.0833333333333,0.75,0.590909090909,0.909090909091,1.0,1.0,0.153846153846,0.818181818182,0.684210526316,0.5,1.0,0.969696969697,12,12,22,11,7,16,1,1,2,8,0,0,0,9,0,3,0,0,0,0,13,8,0,1,0,0,1,10,0,0,0,0,0,0,7,0,0,0,0,0,0,16
3,0,2,0.7,0.555555555556,0.7,0.642857142857,0.615384615385,1.0,0.8,0.625,0.636363636364,0.642857142857,0.571428571429,0.909090909091,0.857142857143,0.588235294118,0.666666666667,0.642857142857,0.592592592593,0.952380952381,0.827586206897,16,11,14,14,11,14,10,1,1,4,0,0,0,7,1,0,0,3,3,1,9,1,0,0,5,0,1,8,0,0,0,1,0,0,10,0,0,0,2,0,0,12
3,0,3,0.675,1.0,0.666666666667,0.472222222222,0.0,1.0,0.894736842105,0.222222222222,0.625,0.944444444444,0.0,1.0,0.809523809524,0.363636363636,0.645161290323,0.62962962963,0.0,1.0,0.85,9,16,18,8,8,21,2,0,7,0,0,0,0,10,4,0,0,2,0,1,17,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,4,0,0,0,17
