sources,target,feature,clf,accuracy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0_2_3,1,1,0,0.9,0.875,0.8,0.888888888889,0.909090909091,1.0,1.0,1.0,0.923076923077,0.941176470588,0.833333333333,1.0,0.777777777778,0.933333333333,0.857142857143,0.914285714286,0.869565217391,1.0,0.875,14,13,17,12,6,18,14,0,0,0,0,0,1,12,0,0,0,0,0,0,16,1,0,0,0,0,2,10,0,0,0,0,0,0,6,0,1,3,0,0,0,14
0_2_3,1,1,6,0.5125,0.75,0.642857142857,0.833333333333,0.631578947368,0.291666666667,0.222222222222,0.666666666667,0.473684210526,0.416666666667,0.923076923077,0.777777777778,0.111111111111,0.705882352941,0.545454545455,0.555555555556,0.75,0.424242424242,0.148148148148,9,19,12,13,9,18,6,0,0,0,3,0,0,9,0,0,4,6,0,0,5,7,0,0,0,0,1,12,0,0,1,0,0,0,7,1,1,5,0,0,10,2
0_2_3,1,1,1,0.6,1.0,0.454545454545,0.846153846154,0.538461538462,0.533333333333,0.285714285714,1.0,0.714285714286,0.55,0.875,0.888888888889,0.105263157895,1.0,0.555555555556,0.666666666667,0.666666666667,0.666666666667,0.153846153846,10,14,20,8,9,19,10,0,0,0,0,0,0,10,1,0,1,2,0,1,11,6,0,2,0,0,1,7,0,0,0,0,0,0,8,1,0,11,0,0,6,2
0_2_3,1,1,5,0.5875,0.857142857143,0.454545454545,0.6875,0.818181818182,0.6,0.357142857143,0.6,0.588235294118,0.733333333333,0.692307692308,0.857142857143,0.277777777778,0.705882352941,0.512820512821,0.709677419355,0.75,0.705882352941,0.3125,10,17,15,13,7,18,6,2,0,1,1,0,0,10,1,0,0,6,1,1,11,1,0,1,0,0,3,9,0,1,0,0,0,0,6,1,0,9,1,0,3,5
0_2_3,1,3,0,0.95,1.0,0.764705882353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.857142857143,0.916666666667,0.933333333333,1.0,0.866666666667,1.0,0.923076923077,0.95652173913,0.965517241379,13,13,13,14,12,15,13,0,0,0,0,0,0,13,0,0,0,0,0,0,13,0,0,0,0,2,0,12,0,0,0,1,0,0,11,0,0,1,0,0,0,14
0_2_3,1,3,6,0.4375,0.6,1.0,0.666666666667,0.666666666667,0.304347826087,0.157894736842,0.6,0.0625,0.533333333333,1.0,0.5,0.2,0.6,0.117647058824,0.592592592593,0.8,0.378378378378,0.176470588235,10,16,15,10,14,15,6,0,0,0,4,0,0,1,4,0,0,11,0,0,8,5,0,2,0,0,0,10,0,0,4,0,0,0,7,3,0,0,0,0,12,3
0_2_3,1,3,1,0.2875,0.75,0.428571428571,0.0,1.0,0.18,0.25,0.230769230769,0.642857142857,0.0,0.1,1.0,0.05,0.352941176471,0.514285714286,0.0,0.181818181818,0.305084745763,0.0833333333333,13,14,14,10,9,20,3,0,0,0,10,0,0,9,0,0,5,0,0,8,0,0,6,0,1,1,0,1,4,3,0,0,0,0,9,0,0,3,0,0,16,1
0_2_3,1,3,5,0.3875,0.888888888889,0.5,0.0,0.857142857143,0.116279069767,1.0,0.615384615385,0.642857142857,0.0,0.428571428571,1.0,0.157894736842,0.727272727273,0.5625,0.0,0.571428571429,0.208333333333,0.272727272727,13,14,15,14,5,19,8,0,0,0,5,0,0,9,0,0,5,0,0,0,0,1,14,0,0,1,0,6,7,0,0,0,0,0,5,0,1,8,0,0,7,3
0_2_3,1,6,0,0.9875,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,0.928571428571,1.0,1.0,1.0,1.0,1.0,0.962962962963,1.0,1.0,1.0,0.967741935484,12,14,15,12,12,15,12,0,0,0,0,0,0,13,0,0,0,1,0,0,15,0,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,15
0_2_3,1,6,6,0.4875,1.0,0.666666666667,0.0,0.441176470588,0.34375,0.0,0.846153846154,0.2,0.0,1.0,1.0,0.0,0.916666666667,0.307692307692,0.0,0.612244897959,0.511627906977,0.0,13,10,19,15,11,12,11,0,0,1,1,0,0,2,0,0,8,0,0,1,0,18,0,0,0,0,0,15,0,0,0,0,0,0,11,0,0,0,0,0,12,0
